Date,Open,High,Low,Close,Volume
2010-01-04,83.86203369631833,84.62325992004527,83.22021293987673,84.57848358154297,118944600
2010-01-05,84.52623982731122,84.83968557413895,84.22025300742887,84.8023681640625,111579900
2010-01-06,84.72027647653118,85.07103964196251,84.65311196936561,84.86207580566406,116074400
2010-01-07,84.7053632992123,85.32479595682022,84.46654664365528,85.2203140258789,131091100
2010-01-08,84.99642773392378,85.54123129793861,84.82478127383378,85.50391387939453,126402800
2010-01-11,85.88449576004972,85.92180746991816,85.257598679594,85.623291015625,106375700
2010-01-12,85.0561124324062,85.23522347097492,84.49638545477134,84.82476043701172,163333500
2010-01-13,85.04117170400748,85.78001531424748,84.60832056042112,85.54119873046875,161822000
2010-01-14,85.44423074677655,85.9293288461672,85.39198976338618,85.7726058959961,115718800
2010-01-15,85.62328712749255,85.7053751630101,84.48143953571027,84.809814453125,212283100
2010-01-19,84.79488855839065,85.92180118676397,84.77249470150349,85.86956024169922,139172700
2010-01-20,85.2874335049314,85.41430354067478,84.31724384509732,84.99637603759766,216490200
2010-01-21,85.01878444091986,85.27998919253707,83.25750998167734,83.36199188232422,344859600
2010-01-22,82.98885626345728,83.39186039646722,81.41415714318863,81.50371551513672,345942400
2010-01-25,82.25002879315663,82.39929276562772,81.65298998478734,81.9216537475586,186937500
2010-01-26,81.60073442241021,82.44406011681994,81.37684702888447,81.5783462524414,211168800
2010-01-27,81.4738377922579,82.15297576056969,80.84694646197244,81.96640014648438,271863600
2010-01-28,82.2350818519663,82.2798581840523,80.53351290665691,81.02606964111328,316104000
2010-01-29,81.37683962879416,81.94403122305579,80.0185690671046,80.14543914794922,310677600
2010-02-01,80.71262179177522,81.3992187701529,80.22752399628618,81.39175415039062,187865000
2010-02-02,81.54101403250996,82.53359204587582,81.25741543397433,82.37686920166016,216327900
2010-02-03,82.00371185299991,82.45149788187338,81.72758358820859,81.96640014648438,172730700
2010-02-04,81.3320563491439,81.36936806123416,79.42151790364919,79.43644714355469,356715700
2010-02-05,79.52598928249647,79.7648058448467,78.04831358227813,79.60062408447266,493585800
2010-02-08,79.66032643871102,80.10064786998981,78.96626489307603,79.02597045898438,224166900
2010-02-09,79.95144548585611,80.71267780244145,79.30962439298632,80.01861572265625,337820500
2010-02-10,79.89170734486893,80.30217041887016,79.19018097577597,79.86185455322266,240511500
2010-02-11,79.75740099840334,80.78729705425492,79.29469110406083,80.69773864746094,223591600
2010-02-12,79.84693399136353,80.67533054463729,79.48871184033827,80.63055419921875,304622100
2010-02-16,81.2425322465635,81.9813705059827,80.46637656548268,81.89927673339844,159317500
2010-02-17,82.29481244453203,82.39930008145791,81.89927284658275,82.287353515625,168845100
2010-02-18,82.15300542039779,82.94408448769659,82.12315262810604,82.7724380493164,193708600
2010-02-19,82.55600925686171,83.26499456608053,82.36196895463337,82.94408416748047,222684900
2010-02-22,83.25007250420153,83.2724606752744,82.71273362310049,82.95901489257812,132346900
2010-02-23,82.73511237089707,82.98885253927342,81.73506385745304,81.95149230957031,207497000
2010-02-24,82.19776760718104,82.83958829633526,81.98880379096094,82.70525360107422,176350700
2010-02-25,81.5261096094435,82.65302833954398,81.30222220405906,82.59332275390625,259634700
2010-02-26,82.66793412581664,82.92914458339479,82.17537738473828,82.64554595947266,173589300
2010-03-01,82.98885639258422,83.58590081882517,82.96646822302178,83.5038070678711,147709700
2010-03-02,83.86205189611289,84.1381803019194,83.5859177964676,83.73517608642578,160992400
2010-03-03,83.95161576870461,84.30984368366802,83.60085247738448,83.80982208251953,150785000
2010-03-04,83.9217306428556,84.18294112520104,83.6082848966459,84.06352996826172,135770400
2010-03-05,84.60835412927777,85.33226309362718,84.40684917605078,85.26509857177734,176118800
