ticker,rule,buy_hold_total_return,strategy_total_return,strategy_net_total_return,buy_hold_cagr,strategy_cagr,strategy_net_cagr,buy_hold_volatility,strategy_volatility,strategy_net_volatility,buy_hold_sharpe,strategy_sharpe,strategy_net_sharpe,buy_hold_max_drawdown,strategy_max_drawdown,strategy_net_max_drawdown,strategy_total_turnover,strategy_net_total_turnover,net_cagr_minus_buy_hold,net_sharpe_minus_buy_hold,net_drawdown_improvement,net_volatility_reduction,volatility_threshold,n_observations,average_regime_persistence,rank_sharpe,rank_drawdown,rank_volatility,rank_cagr,rank_turnover,combined_rank
XLE,crash_filter,1.1769848167978472,0.42991270712975704,0.0006135866106535826,0.07087278996859414,0.03197761294994228,5.3992518572520964e-05,0.29354355353150635,0.21997026802243735,0.2199437686046332,0.24229788306352798,0.14309649312653236,0.00024547665692505456,-0.6681303463097066,-0.5559341571470695,-0.5925611612146293,714.0,714.0,-0.07081879745002162,-0.24205240640660292,0.07556918509507726,0.07359978492687316,0.21586978813891533,2863,0.48807995753117706,14.0,12.0,17.0,13.0,12.0,62.0
ARKK,baseline,3.267188886521697,0.7422097536407,0.11213243042810772,0.13622622739632706,0.05007798777025574,0.009398547073748986,0.3867702964792179,0.22883123414684428,0.22883649143303794,0.33162584310589865,0.21353918603088698,0.04087921235148617,-0.8091410758425104,-0.5152077948791697,-0.5779760526246777,897.75,897.75,-0.12682768032257807,-0.2907466307544125,0.23116502321783272,0.15793380504617996,0.30568247824530376,2863,0.4918646921013148,16.0,1.0,2.0,29.0,30.0,63.0
XLE,baseline,1.176985318430932,0.22736467212434963,-0.21622294847868118,0.07087281168799309,0.018196075447523885,-0.021215971072822915,0.2935435006263906,0.16821392638924,0.16818931821299316,0.24229785552654445,0.1071998523748295,-0.12750075193635782,-0.6681304271670048,-0.4877224763605662,-0.5901470862637863,897.0,897.0,-0.092088782760816,-0.3697986074629023,0.07798334090321846,0.12535418241339746,0.21586928168986746,2863,0.48807995753117706,18.0,11.0,4.0,17.0,29.0,64.5
GLD,volatility_target,2.1415618533757863,1.227274803874702,0.8372663307942874,0.10600868734350155,0.07302761067442476,0.054999644813730875,0.16025229786013392,0.11768030048264369,0.11766892250091988,0.6241426276623652,0.598946427317228,0.45500909773440956,-0.24464611578427153,-0.18635600148944398,-0.21166216739440813,385.0,385.0,-0.051009042529770676,-0.1691335299279556,0.032983948389863404,0.04258337535921404,0.1322156629029833,2863,0.46270239774496214,5.0,20.0,34.0,4.0,8.0,67.0
TLT,volatility_target,-0.1444552849276275,-0.16465575811597388,-0.31161800742410184,-0.013638679376675511,-0.01571099413412891,-0.03233323765046148,0.14827756687705096,0.10688859781976204,0.10689567067837939,-0.0948590065160584,-0.14815162914997648,-0.30747273988784574,-0.4835112556402845,-0.39669614498853556,-0.4330318388775687,387.0,387.0,-0.018694558273785966,-0.21261373337178735,0.050479416762715834,0.04138189619867157,0.1249898396448939,2863,0.4568785681510188,10.0,17.0,36.0,1.0,9.0,68.5
BTC-USD,baseline,275.9901647096712,12.628257400042468,5.798115131453709,0.4045312408113815,0.1709092618388286,0.12273820417919468,0.5510382153330841,0.34129006409942847,0.34138786990729675,0.6242780015731971,0.46230643799881105,0.3391172825664133,-0.8339900882218975,-0.6887591844402481,-0.7278939339220314,1391.0,1391.0,-0.2817930366321868,-0.2851607190067838,0.10609615429986607,0.2096503454257873,0.4401436178177377,4172,0.4586318632407015,15.0,5.0,1.0,39.0,40.0,80.0
ARKK,crash_filter,3.267188886521697,0.37826398737135825,-0.0494126981398737,0.13622622739632706,0.028641347387900584,-0.0044504823419241335,0.3867702964792179,0.2978700128793355,0.2979339674128183,0.33162584310589865,0.09480259865888195,-0.014971153705248685,-0.8091410758425104,-0.671849273131669,-0.7508704515754,743.0,743.0,-0.1406767097382512,-0.34659699681114736,0.05827062426711038,0.0888363290663996,0.30568247824530376,2863,0.4918646921013148,17.0,14.0,12.0,33.0,17.0,84.5
BTC-USD,defensive_overlay,275.9901647096712,26.77967202943899,14.891820315073543,0.4045312408113815,0.22237650394428088,0.18182755840507947,0.5510382153330841,0.43209031531983694,0.4321673311292815,0.6242780015731971,0.46471052665687823,0.386567902368314,-0.8339900882218975,-0.7652048803737264,-0.7826218953569688,1117.0,1117.0,-0.222703682406302,-0.23771009920488312,0.05136819286492866,0.11887088420380254,0.4401436178177377,4172,0.4586318632407015,13.0,16.0,5.0,38.0,38.0,91.0
XLF,defensive_overlay,2.5023302205673534,0.7295128793257333,0.19717521728290666,0.1166422899946089,0.04940214653879327,0.015966546723416908,0.2178088470149344,0.15770247531725232,0.15775576564138255,0.5129742150414741,0.30576956806092437,0.1004110505658599,-0.42862539412161227,-0.3725554485397937,-0.3995907719389016,735.75,735.75,-0.100675743271192,-0.4125631644756142,0.02903462218271069,0.060053081373551837,0.1569551328975011,2863,0.46704117776029025,21.0,21.0,21.0,21.0,14.0,91.0
IWM,defensive_overlay,1.961892480471815,0.5152650840831354,0.046383984893869856,0.10029039373212512,0.037257368216241815,0.003998815771822706,0.2256494168870521,0.17315105582570836,0.1731830602500168,0.42710888506930655,0.21126110746512514,0.02304406535456589,-0.4113329867260582,-0.3601093481602671,-0.3874475162261999,740.5,740.5,-0.09629157796030241,-0.4040648197147407,0.02388547049985834,0.05246635663703528,0.18748538242298646,2863,0.4649723747634111,19.0,22.0,28.0,19.0,15.0,95.5
